Gender.Weights,Age Group.Weights,ADM1.Weights,Total Weights,Survey Date,Country,Gender,Age Group,Admin1,SEC,Age,BirthYear,Awareness,Urban/Rural,BiggestChallenge,LevelConcern,Concerns,RiskAwareness,Tested,VirusPrevention,PreventativeMeasures: Avoiding public places,PreventativeMeasures: Avoiding public transport,PreventativeMeasures: Increasing hygiene,PreventativeMeasures: Other,PreventativeMeasures: Working from home,HandWashing,SocialDistancing,HealthBehavior,EconomicImpact,MarketOperability,FoodLocations,FoodLocations2,FoodShopping,FoodAmount,Foodworry,BrandPurchase,NonEssentialItems,GovernmentTrust,CommercialTrust: Banks,CommercialTrust: Brands,CommercialTrust: Other,CommercialTrust: Retailers,CommercialTrust: Telecommuncations,InitiativeTaken: Limited store traffic,InitiativeTaken: None,InitiativeTaken: Sectioned intercepts,InitiativeTaken: Staff in protective gear,Groups: Brands,Groups: Governments,Groups: NGOs,Groups: Private Sector,Groups: Retailers,InformationSources: Friends/family,InformationSources: Government messages,InformationSources: Newspapers,InformationSources: Other,InformationSources: Radio,InformationSources: Social Media,InformationSources: TV,SocialMedia,MediaConsumption,StayPositive
0.9,0.9,1.0,0.85,04/02/2020,Kenya,Male,26-35,Nyeri,C1,33,1986,Yes,Rural area,Daily bread due to lack of wages,5,Contracting the disease,Yes,No,Yes,TRUE,TRUE,TRUE,FALSE,FALSE,3-5 times,Yes,Go to hospital,5,Most are closed,No,N/A,Same as usual [no change],Bigger packsize than usual,Yes,Switch to an alterative brand because it is cheaper,No change,5,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,Media outlets,No change,"Curfew, insisting on the need to sanitize,information about the spread,"
0.9,0.9,1.0,0.78,04/02/2020,Kenya,Male,26-35,Migori,C1,30,1989,Yes,Rural area,Corona virus panic,5,Economic impact,Yes,No,Yes,FALSE,FALSE,TRUE,FALSE,FALSE,More than 5 times,No,Go to hospital,5,All are open,Yes,Supermarkets,Less often than usual,Bigger packsize than usual,Yes,Switch to an alterative brand because it is cheaper,Decreased,3,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,Health organizations,Consuming more,"Am a health worker, I noticed my panic led to loss of life initially, so I needed to stay positive even without ppes"
0.9,1.1,1.0,0.98,04/02/2020,Kenya,Male,15-25,Nandi,C1,25,1994,Yes,Urban area,It is corona virus,4,Global infections,Yes,Yes - tested positive,Yes,FALSE,FALSE,FALSE,FALSE,TRUE,3-5 times,Yes,Go to hospital,4,Some are open,Yes,Supermarkets,More often than usual,Bigger packsize than usual,Yes,Switch to an alterative brand because it is cheaper,Decreased,4,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,N/A,Consuming more,Am relaxing with my family
1.0,0.9,1.0,0.96,04/02/2020,Nigeria,Female,36+,Lagos,C1,39,1980,Yes,Urban area,Boredom,5,Contracting the disease,No,No,Yes,FALSE,FALSE,FALSE,FALSE,TRUE,More than 5 times,Yes,Go to doctor,5,Some are open,No,N/A,More often than usual,Bigger packsize than usual,Yes,Switch to an alterative brand because it is cheaper,No change,5,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Media outlets,Consuming more,Internet
0.9,1.1,1.0,1.00,04/02/2020,Kenya,Male,15-25,Kisii,C1,23,1996,Yes,Urban area,The economy is very poor at the moment due this pandemic,4,Contracting the disease,Yes,Yes - tested positive,Yes,TRUE,FALSE,FALSE,FALSE,FALSE,More than 5 times,Yes,Go to hospital,4,Most are closed,Yes,Other,Same as usual [no change],Bigger packsize than usual,Yes,Switch to an alterative brand because it is cheaper,No change,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Media outlets,Consuming more,Nothing but just to stay at home
1.1,0.9,1.0,0.99,04/02/2020,Kenya,Female,26-35,Bungoma,C1,31,1988,Yes,Rural area,Lack of capital to purchase sanitizers,5,Economic impact,Yes,No,Yes,TRUE,FALSE,FALSE,FALSE,FALSE,More than 5 times,Yes,Go to hospital,5,Most are closed,Yes,Supermarkets,Less often than usual,Same as usual,Yes,Switch to an alterative brand because it is cheaper,Decreased,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Media outlets,Consuming more,"Internet, media, food, family and friends, staying at home"
0.9,0.9,1.1,0.87,04/02/2020,Kenya,Male,26-35,Trans Nzoia,C1,29,1990,Yes,Rural area,Inadequate food,5,Contracting the disease,Yes,No,Yes,FALSE,FALSE,FALSE,FALSE,TRUE,1-2 times,No,Go to hospital,5,Most are closed,No,N/A,Less often than usual,Same as usual,Yes,Switch to an alterative brand because it is cheaper,Decreased,2,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Governments,Consuming more,Being together with my family
0.9,0.9,1.0,0.82,04/02/2020,Kenya,Male,26-35,Kiambu,B,26,1993,Yes,Urban area,Corona,5,Contracting the disease,Yes,No,Yes,FALSE,FALSE,FALSE,FALSE,TRUE,More than 5 times,No,Go to hospital,5,Most are open,Yes,Supermarkets,More often than usual,Bigger packsize than usual,Yes,Purchase your usual brand,No change,5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,N/A,Consuming more,Sanitize
0.9,1.1,1.1,1.07,04/02/2020,Kenya,Male,15-25,Trans Nzoia,C1,20,1999,Yes,Rural area,Staying indoors,4,Local infections,Yes,Yes - tested negative,Yes,TRUE,TRUE,TRUE,FALSE,TRUE,More than 5 times,Yes,Go to hospital,4,Most are closed,Yes,Supermarkets,Less often than usual,Bigger packsize than usual,No,N/A,Decreased,2,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,Governments,Consuming more,Staying cool at home and engaging in little work at home to keep me busy
0.9,0.9,1.0,0.78,04/02/2020,Kenya,Male,26-35,Migori,C1,33,1986,Yes,Urban area,Lack of job,5,Contracting the disease,Yes,No,Yes,FALSE,FALSE,TRUE,FALSE,FALSE,More than 5 times,No,Go to hospital,5,Some are open,No,N/A,Same as usual [no change],Bigger packsize than usual,Yes,Switch to an alterative brand because it is cheaper,Decreased,3,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,Governments,Consuming more,Recovery of some patients
1.0,0.9,1.0,0.91,04/02/2020,Nigeria,Male,36+,Kano,D,46,1973,Yes,Urban area,poverty,4,Contracting the disease,Yes,Not sure,Yes,TRUE,FALSE,FALSE,FALSE,FALSE,More than 5 times,Yes,Go to doctor,5,All are open,No,N/A,Same as usual [no change],Same as usual,Yes,Switch to an alterative brand because it is cheaper,Decreased,3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,N/A,Consuming more,My Faith and my optimism
1.0,0.9,1.0,0.96,04/02/2020,Nigeria,Female,36+,Imo,D,36,1983,Yes,Urban area,Food.,5,Economic impact,No,No,Yes,TRUE,TRUE,TRUE,FALSE,TRUE,More than 5 times,Yes,Not sure,5,Most are closed,No,N/A,More often than usual,Bigger packsize than usual,Yes,Switch to an alterative brand because it is cheaper,Decreased,2,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,Media outlets,Consuming less,"God,My children, hubby and my phone"
0.9,1.1,0.9,0.95,04/02/2020,Kenya,Male,15-25,Tharaka-Nithi,C1,22,1997,Yes,Urban area,Lack of finance,5,Contracting the disease,Yes,No,Yes,FALSE,FALSE,TRUE,FALSE,FALSE,More than 5 times,Yes,Go to hospital,5,All are open,No,N/A,Less often than usual,Bigger packsize than usual,Yes,Switch to an alterative brand because it is cheaper,Decreased,3,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Media outlets,Consuming more,You tube watching
1.0,0.9,1.0,0.96,04/02/2020,Nigeria,Female,36+,Ogun,C2,37,1982,Yes,Urban area,My biggest challenge is how to go out to stock the house with the little cash I have,5,Global infections,No,No,Yes,FALSE,FALSE,TRUE,FALSE,TRUE,More than 5 times,Yes,Go to hospital,5,Some are open,Yes,Supermarkets,More often than usual,Bigger packsize than usual,Yes,Switch to an alterative brand because it is cheaper,Decreased,4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Health organizations,Consuming more,Am home together with the whole of My family
1.0,0.9,1.0,0.91,04/02/2020,Nigeria,Male,36+,Kano,D,57,1962,Yes,Urban area,Security,5,Global infections,Yes,Not sure,Yes,FALSE,FALSE,TRUE,FALSE,FALSE,More than 5 times,No,Go to hospital,5,Some are open,No,N/A,Same as usual [no change],Same as usual,Yes,Purchase your usual brand,Decreased,5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Health organizations,Consuming more,Good advisory news from government and media.
1.0,1.0,1.0,1.01,04/02/2020,Nigeria,Male,26-35,Plateau,C2,33,1986,Yes,Urban area,Lock down of business,5,Economic impact,Yes,No,Yes,TRUE,FALSE,TRUE,FALSE,TRUE,3-5 times,Yes,Go to doctor,5,Most are closed,Yes,Supermarkets,More often than usual,Bigger packsize than usual,Yes,Switch to an alterative brand because it is cheaper,Decreased,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,N/A,Consuming more,"Board games, and family"
1.0,0.9,1.0,0.96,04/02/2020,Nigeria,Female,36+,Osun,C1,38,1981,Yes,Urban area,The lock down issue,5,Economic impact,Yes,No,Yes,TRUE,FALSE,FALSE,FALSE,FALSE,More than 5 times,No,Go to hospital,5,All are closed,Yes,Drugstores,Less often than usual,Smaller packsize than usual,Yes,Switch to an alterative brand because it is cheaper,Decreased,5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,N/A,Consuming more,Personal hygiene and staying at home ( lock down)
1.0,0.9,1.0,0.91,04/02/2020,Nigeria,Male,36+,Ekiti,D,43,1976,Yes,Urban area,The movement restrictions and the epileptic power supply,3,Economic impact,Yes,Yes - tested negative,Yes,FALSE,FALSE,TRUE,FALSE,FALSE,3-5 times,No,Go to hospital,4,All are closed,Yes,Discounters,Less often than usual,Smaller packsize than usual,Yes,Switch to an alterative brand because it is cheaper,Decreased,4,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Health organizations,Consuming more,The outbreak is very minimal here and it seems not out of control for the government and the health officials
1.0,0.9,1.1,1.03,04/02/2020,Nigeria,Female,36+,Katsina,C1,39,1980,Yes,Urban area,?Y?e?s,5,Travel restrictions,Yes,Yes - tested negative,Yes,FALSE,FALSE,TRUE,FALSE,FALSE,More than 5 times,No,Go to doctor,5,Most are closed,No,N/A,Less often than usual,Smaller packsize than usual,Yes,Switch to an alterative brand because it is cheaper,Decreased,5,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Media outlets,Consuming more,Staying indoors
1.0,0.9,1.0,0.91,04/02/2020,Nigeria,Male,36+,Kano,A,36,1983,Yes,Urban area,BIG,1,Contracting the disease,Yes,Yes - tested positive,Yes,TRUE,FALSE,FALSE,FALSE,FALSE,0 times,Yes,Not sure,1,All are open,Yes,Other,Same as usual [no change],Smaller packsize than usual,No,N/A,No change,5,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,N/A,No change,?Y?E?S
0.9,1.1,1.0,0.98,04/02/2020,Kenya,Male,15-25,Narok,E,24,1995,Yes,Rural area,Corona virus,4,Global infections,Yes,No,Yes,FALSE,FALSE,TRUE,FALSE,FALSE,More than 5 times,Yes,Go to hospital,4,Some are open,No,N/A,Less often than usual,Smaller packsize than usual,Yes,Purchase your usual brand,Decreased,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,N/A,No change,Am happy to to stay indoors to avoid Covid 19 spreading
1.0,0.9,1.0,0.91,04/02/2020,Nigeria,Male,36+,Kano,D,39,1980,Yes,Rural area,Corona virus,5,Local infections,Yes,No,Yes,FALSE,FALSE,TRUE,FALSE,FALSE,More than 5 times,Yes,Go to hospital,1,Most are closed,Yes,Other,Less often than usual,Bigger packsize than usual,Yes,Switch to an alterative brand because it is cheaper,Decreased,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,Health organizations,Consuming more,Govt suport against corona speriding
1.0,0.9,1.1,0.97,04/02/2020,Nigeria,Male,36+,Katsina,A,49,1970,Yes,Urban area,Corona virus,5,Contracting the disease,No,Not sure,Yes,FALSE,FALSE,FALSE,FALSE,TRUE,More than 5 times,No,Go to hospital,5,All are open,No,N/A,Less often than usual,Smaller packsize than usual,No,N/A,Decreased,5,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,N/A,Consuming more,Enough food and electricity
1.0,0.9,1.0,0.91,04/02/2020,Nigeria,Male,36+,Oyo,B,37,1982,Yes,Urban area,Employment,5,Global infections,Yes,No,Yes,TRUE,FALSE,FALSE,FALSE,FALSE,0 times,No,Go to hospital,5,Some are open,No,N/A,Same as usual [no change],Same as usual,Yes,Switch to an alterative brand because it is cheaper,Decreased,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,N/A,No change,"Washing my hands regularly, use of hand sanitizers, avoiding social contact and maintaining social distance and staying at home"
1.0,0.9,1.0,0.91,04/02/2020,Nigeria,Male,36+,Oyo,D,42,1977,Yes,Urban area,Electricity,5,Global infections,Yes,Not sure,Yes,TRUE,FALSE,FALSE,FALSE,FALSE,More than 5 times,Yes,Go to doctor,5,Most are closed,Yes,Supermarkets,Less often than usual,Bigger packsize than usual,Yes,Switch to an alterative brand because it is cheaper,Decreased,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N/A,Consuming more,Social media
1.0,0.9,1.1,1.07,04/02/2020,Nigeria,Female,36+,Ondo,D,36,1983,Yes,Rural area,Staying home,5,Global infections,No,No,Yes,TRUE,FALSE,FALSE,FALSE,FALSE,More than 5 times,No,Not sure,5,All are closed,No,N/A,Less often than usual,Smaller packsize than usual,Yes,Switch to an alterative brand because it is cheaper,No change,5,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,N/A,Consuming less,Because am alive
1.0,0.9,1.0,0.96,04/02/2020,Nigeria,Female,36+,Ogun,C2,40,1979,Yes,Urban area,Stay at home no where to go. Everything is boring and no light.,5,Global infections,No,No,Yes,FALSE,FALSE,TRUE,FALSE,FALSE,More than 5 times,No,Go to hospital,5,Most are open,No,N/A,More often than usual,Bigger packsize than usual,No,N/A,Decreased,5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,Health organizations,Consuming more,Stay at home and proper hygiene.
1.0,0.9,1.1,0.97,04/02/2020,Nigeria,Male,36+,Katsina,C2,36,1983,Yes,Urban area,Covid 19,5,Global infections,Yes,Yes - tested negative,Yes,TRUE,FALSE,FALSE,FALSE,FALSE,3-5 times,Yes,Go to hospital,5,Most are closed,Yes,Online,Less often than usual,Same as usual,Yes,Switch to an alterative brand because it is cheaper,Decreased,4,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Health organizations,Consuming more,"Self isolation, watching news, using sanitisers all the times"
1.0,1.0,1.0,1.00,04/02/2020,Nigeria,Male,15-25,Sokoto,D,19,2000,Yes,Rural area,Covid 19 outbreak,5,Global infections,Yes,Not sure,Yes,TRUE,FALSE,FALSE,FALSE,FALSE,3-5 times,No,Go to hospital,5,Some are open,No,N/A,Same as usual [no change],Same as usual,Yes,Switch to an alterative brand because it is cheaper,Decreased,5,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Media outlets,Consuming less,Tv
0.9,1.1,1.0,1.04,04/02/2020,Kenya,Male,15-25,Nyamira,C1,25,1994,Yes,Urban area,My sanitizer is over ineed to get some for my family,5,Contracting the disease,Yes,No,Yes,FALSE,FALSE,TRUE,FALSE,FALSE,More than 5 times,No,Go to hospital,5,Most are closed,No,N/A,Less often than usual,Bigger packsize than usual,Yes,Switch to an alterative brand because it is cheaper,Decreased,5,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,N/A,No change,Not walking around i always sanitize mean am safe
1.1,1.0,1.0,1.08,04/02/2020,Kenya,Female,36+,Kisii,C1,43,1976,Yes,Rural area,Power blackout,5,Contracting the disease,Yes,Yes - tested positive,Yes,FALSE,FALSE,TRUE,FALSE,FALSE,More than 5 times,Yes,Stay home,3,Most are closed,Yes,Supermarkets,Less often than usual,Bigger packsize than usual,Yes,Switch to an alterative brand because it is cheaper,Decreased,5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,N/A,Consuming less,Government concerns
